id,jib,name
1,4000000000028,GRENLAND DOO NOVI TRAVNIK
2,4000000103454,KABEL-DOO ZENICA
3,4000000400390,AVIX DOO ZENICA
4,4000000400427,TM LADY DOO
5,4000000400719,IZBOR STR ZENICA
6,4000000400799,TAHOGRAF DOO
7,4000000400979,ŠEM CAFFE BAR ZENICA
8,4000000401191,HELIX UGOST.RADNJA
9,4000000401215,BOLERO FAST FOOD SUR
10,4000000401671,BELMIN STR
11,4000000401737,ŠIMKE COMPANY DOO
12,4000000401779,BIM ZAVRŠNI RADOVI U GRAĐEVINARSTVU
13,4000000401813,POLJOOPSKRBA STR
14,4000000402136,MAKS EKSPORT DOO
15,4000000402229,BOSNA STR ZENICA
16,4000000403292,PLIVA-GRADNJA DOO JAJCE
17,4000000403370,J&P DOO KUPRES
18,4000000403408,D' ORO DOO BUGOJNO
19,4000000500012,OPĆINSKI NAČELNIK GLAMOČ OPĆINA GLAMOČ
20,4000000661954,TURIST 98 UTP DOO JAJCE
21,4000000670815,AJAX SUR FAST-FOOD
22,4000000673947,POMIDORA & LAFRRA DOO ČITLUK
23,4000000712260,▯KK TROGLAV LIVNO
24,4000000712270,INFRA -GRADNJA D.O.O.LIVNO
25,4000000712527,BIFE BRIŠNIK TOMISLAVGRAD
26,4000000712535,UTP TURIST 98 JAJCE
27,4000000712556,KOD DVA PRIJATELJA VL J.COSIC
28,4000000712606,SUR LOVAC VL. DRAGO JUKANOVIA
29,4000000712632,SZR RADIONA PRAONA VL.B. LADAN
30,4000000712756,RESTORA PIZERIA QUEEN GLAMOC
31,4000000712780,STR POVRATNIK GLAMOC
32,4000000712842,TRGOVAČKO PODUZEĆE PLAZENICAPROMET D.O.O. KUPRES
33,4000000712892,MALDI STR POSUŠJE
34,4000000712985,STR SPAR GLAMOC
35,4000000713031,CIRO STR POSUSJE
36,4000000713038,BEST D.O.O. GLAMOČ
37,4000000713063,MAKS EKSPORT D.O.O. SARAJEVO
38,4000000713139,S & A D.O.O. GLAMOČ
39,4000000713188,I-LIVNO-BUS -SINDIKAT
40,4000000713246,"BIFE SELJAK, VL.JELA MIŠKOVIĆ"
41,4000000713336,EURO-STAR D.O.O. LIVNO
42,4000000713437,POMIDORA-LAFRRA DOO ČITLUK
43,4000000728190,INVESTICIJSKI RAČUN NT-IGM D.O.O.
44,4000000729552,KK ŽELJEZNIČAR - OMLADINSKI POGON
45,4000000764080,SREDSTVA OD PRIRODNIH I DRUGIH NEPOGODA
46,4000803200000,MARKET SCHOP 24 STR
47,4001601121000,SAND DOO MATUZIĆI
48,400354510009,WELTING DOO BIJELJINA
49,4010613800000,MAGDALENA DOO
50,4010701770000,TRANSJUG DD SARAJEVO ZA MEDJUNARODNU SPEDICIJU SARAJEVO
51,4011074610000,DOBOJPUTEVI AD DOBOJ
52,4011107300000,VRELO BOSNE GZP
53,4011686060000,KONSALTING DOO
54,401184380004,"MDIS DOO ZA PREVOZ, USLUGE I TRGOVINU"
55,4012582730000,MONTING DOO
56,4012746430000,HRAPOVIĆ DOO
57,4013020860000,MIGROS D.J.L. ILIDZA
58,4013181280000,AVISTA DOO
59,4013394780000,KGH MONT DOO
60,4013740010000,LEJŠI DOO
61,4014397070000,ALVI DOO
62,4014659530000,BIROSTROJ COMPUTERS D.O.O SA P.O.
63,4015365590000,MUSTO DOO
64,4015456390000,TESSANTEX DOO
65,4015963140000,GRATEX D.O.O. MATUZIĆI
66,4016276190000,VOĆE PROM DOO
67,4016302960000,ŠILJAK DJL DŽEVAD ŠILJAK
68,4016339450000,ALMES DOO
69,4016441490000,BOSSANA EXPORT DOO
70,4017086860000,SD-PROMONT DOO
71,4017116100000,VIR-TEHNO DOO
72,4017116280000,BAŠKARADA DOO
73,4017218280000,RESTA INO D.O.O. SARAJEVO
74,4017235610000,SISTA D.J.L
75,4017497730000,LINE HA D.J.L. SARAJEVO
76,4017604080000,PAGAS D.O.O. SARAJEVO
77,4017887100000,DRVORAD SIVSA - USORA
78,4018174000000,WOOSLEY DOO
79,4018326110000,GEN-TRGOVINA DOO
80,4018329130000,M.A.K.K. CONCORD DOO
81,4019518820009,JEKI DOO
82,401968191297,KAZABLANKA SUR-KAFE BAR VL. OMERINOVIĆ EMIR
83,401969125069,ASKO STR
84,4020103388002,
85,4020104660008,BAMBOLA DOO SARAJEVO
86,4020112263000,EDNIL DOO
87,4020112310000,NOVA OBNOVA D.O.O. SARAJEVO
88,4020114185006,MRKI DOO GRUDE
89,4020118199001,BETA PROMET DOO
90,4020208104000,ALTUM DOO TUZLA
91,4020285958003,CALL TRADE DOO TUZLA
92,4020303743001,LATICA DOO GRUDE
93,4020324074002,"""RAGIPROM"" DOO FOJNICA"
94,4020324619006,BRAGA DOO FOJNICA
95,402064850003,MIKROPROM DOO DERVENTA
96,4020933976000,ANA TOURS DOO SARAJEVO
97,402753470005,LIST DOO I.SARAJEVO
98,402959171514,AFRIKA SUR CAFFE BAR
99,403033080001,EUROMGM DOO LAKTAŠI
100,4100254700001,SCT-BBM DOO POREZNI PUNOMOĆNIK SPL.GRA.POD. SCT DD LJUBLJANA
101,410963195048,KAVALIR SUR ŽEPĆE
102,4110420660000,GRADNJA TRGOVINA JAJCE
103,4110987970000,UTP PELVA JAJCE
104,4111058740000,EUROVRBAS D.O.O JAJCE
105,4111087920000,ONYX JAJCE
106,4111283940000,CENTRAL COMMERCE KUPRES
107,4112069480000,MENAGER D.J.O. GRUDE
108,412970172218,VEDO SZTR
109,4164000000000,VOĆKO DOO
110,4174928400000,ELMONT-COMERC D.O.O. BANJA LUKA
111,4176892400000,SIGMA -PROMET D.O.O. BANJA LUKA
112,4179018800000,PROVEKS D.O.O. BIJELJINA
113,4182113200000,GRAFOPROM D.O.O. BANJA LUKA
114,4182243900000,MOBILPROM D.O.O. BANJA LUKA
115,4192405200000,INEX EXPORT D.O.O. B.LUKA
116,4193841000000,DRAGON KOMERC D.O.O. BANJA LUKA
117,4200000100211,STIROKEM D J L
118,4200000103474,AL-SA
119,4200000103903,EDI-SAN D O O
120,4200000106279,MU ROS D J L
121,4200000107330,OLIMPIK FK
122,4200000109944,VIS UNITA D J L
123,4200000112465,RELAN D J L
124,4200000114085,TABASKO
125,4200000114697,GRAFIKA-DŽANE D J L
126,4200000115057,ZIDARSKA-FAS RAD VL HRVIĆ V
127,4200000115502,STUDIO-ERIS D O O
128,4200000116029,KOKO MAGLAJ
129,4200000118439,ANTILOPA D O O
130,4200000121740,TOMATO U R CAFFE BAR VL Ć A
131,4200000121766,KANGRA T R
132,4200000122053,BARON D O O
133,4200000122134,TAHOGRAF D O O
134,4200000122231,MOBILUS D O O
135,4200000124749,MESNICA SZR VL.SINANOVIC VAHID TESANJ
136,4200000127292,"ZZ ""HALKI▯I"" BOSANSKA KRUPA"
137,4200000127381,MAHALA T R VL MERZIĆ RAŠIDA
138,4200000127403,BILD-EN D O O
139,4200000127772,UG FUDBALSKI KLUB KRAJINA
140,4200000128728,SAGRO D O O
141,4200000130668,ADI S T R VL POBRIĆ AIDA
142,4200000130897,RA S U R KAFE VL ADŽAMIJA ENES
143,4200000132300,AUTO SPRINT T R
144,4200000132768,H R M -DUTY FREE SHOP
145,4200000133420,PAPIR-ART D O O
146,4200000133438,SPAR D O O
147,4200000133551,RIJA S Z R FRIZ SALON
148,4200000133632,BIM D O O
149,4200000134051,MOBILIJA D O O
150,4200000134132,ELLE S Z R
151,4200000134582,POLJOPRIV ZADRUGA PRENJ STOLAC
152,4200000134647,BARCELONA S U R
153,4200000134957,AUTOŠKOLA POLET D O O
154,4200000135180,UNAFLEX D O O
155,4200000135201,SUTKO T R VL ČIRIĆ SUAD
156,4200000135333,ŠEH IN PETROL D O O
157,4200000135406,KLUB INKOGNITO VL ŠARIĆ ZLATAN
158,4200000135449,OPTIKA ADEMINA CAZIN
159,4200000135708,RTC-CKTZ D O O
160,4200000135732,HARIS CO D O O
161,4200000135740,AMEA S Z R VL MUSIĆ MIRSAD
162,4200000135821,MESADŽID S Z R VL IMAMOVIĆ ZUH
163,4200000135872,DEDO PRŽIONICA KAFE SZUR
164,4200000135953,ISMAR MESNICA VL KADIĆ VEDAT
165,4200000136038,OSMAN T R VL TOPČAGIĆ FADILA
166,4200000136410,BACUS D O O
167,4200000136828,JAGODA SUR VL RISTEM ADEMI
168,4200000136976,DUJMOVIĆ D O O
169,4200000136984,AUTO-REMONT D O O BIHAĆ
170,4200000137263,DOGANA SUR VL ĐULIMAN ASIM
171,4200000137646,KONIG D O O
172,4200000137913,ZENI TR VL ĆEJVANOVIĆ ELVIS
173,4200000138049,DELTA D O O BIHAĆ
174,4200000138235,MEKI VL MARIĆ MERKEZ
175,4200000138421,HAVER D O O
176,4200000138626,UNO STR MOSTAR VL RAHIMIĆ E
177,4200000139100,ZMAJ OD BOSNE UG BOK KLUB
178,4200000139169,ALFACOMMERCE D O O
179,4200000139657,HUMAN HELP H O
180,4200000139797,MONALIZA KAFFE B NASUPOVIĆ F
181,4200000140310,MERHAMET HUM ORG BOŠNJAKA
182,4200000140388,MEHLEM STR VL SARIĆ ZAIM
183,4200000140485,AMADIS D J L
184,4200000140914,OZON D O O
185,4200000140930,KONJIĆ D O O
186,4200000141368,ALFAS D O O
187,4200000141732,K R TRADE D O O
188,4200000141830,EUROTUF D O O
189,4200000142003,HIT D O O TUZLA
190,4200000142470,KREP D O O
191,4200000142690,GLOBER D O O
192,4200000143018,OZ TUZ MOST PJ 1 AGEN ZA ZAP
