id,company_id,bank_id,account,name
1,1,1,3389002211382051,GRENLAND DOO NOVI TRAVNIK
2,2,2,1543001100106745,KABEL-DOO ZENICA
3,3,2,1549995000430951,AVIX DOO ZENICA
4,4,2,1549995000432503,TM LADY DOO
5,5,2,1549995000449963,IZBOR STR ZENICA
6,6,2,1549995000454813,TAHOGRAF DOO
7,7,2,1549995000465289,ŠEM CAFFE BAR ZENICA
8,8,2,1549995000475571,HELIX UGOST.RADNJA
9,9,2,1549995000476541,BOLERO FAST FOOD SUR
10,10,2,1549995000499336,BELMIN STR
11,11,2,1549995000502634,ŠIMKE COMPANY DOO
12,12,2,1549995000504283,BIM ZAVRŠNI RADOVI U GRAĐEVINARSTVU
13,13,2,1549995000505447,POLJOOPSKRBA STR
14,14,2,1549995000517960,MAKS EKSPORT DOO
15,15,2,1549995000520385,BOSNA STR ZENICA
16,16,2,1549995000531055,PLIVA-GRADNJA DOO JAJCE
17,17,2,1549995000533189,J&P DOO KUPRES
18,18,2,1549995000533577,D' ORO DOO BUGOJNO
19,19,2,1549995000000659,OPĆINSKI NAČELNIK GLAMOČ OPĆINA GLAMOČ
20,20,2,1549995000016858,TURIST 98 UTP DOO JAJCE
21,21,2,1549995000029371,AJAX SUR FAST-FOOD
22,22,2,1549995000034512,POMIDORA & LAFRRA DOO ČITLUK
23,23,2,1549995000055464,▯KK TROGLAV LIVNO
24,24,2,1549995000055658,INFRA -GRADNJA D.O.O.LIVNO
25,25,2,1549995000082430,BIFE BRIŠNIK TOMISLAVGRAD
26,26,2,1549995000082818,UTP TURIST 98 JAJCE
27,27,2,1549995000084176,KOD DVA PRIJATELJA VL J.COSIC
28,28,2,1549995000087183,SUR LOVAC VL. DRAGO JUKANOVIA
29,29,2,1549995000088444,SZR RADIONA PRAONA VL.B. LADAN
30,30,2,1549995000099502,RESTORA PIZERIA QUEEN GLAMOC
31,31,2,1549995000100763,STR POVRATNIK GLAMOC
32,32,2,1549995000105322,TRGOVAČKO PODUZEĆE PLAZENICAPROMET D.O.O. KUPRES
33,33,2,1549995000108523,MALDI STR POSUŠJE
34,34,2,1549995000117738,STR SPAR GLAMOC
35,35,2,1549995000120260,CIRO STR POSUSJE
36,36,2,1549995000120648,BEST D.O.O. GLAMOČ
37,37,2,1549995000122297,MAKS EKSPORT D.O.O. SARAJEVO
38,38,2,1549995000129087,S & A D.O.O. GLAMOČ
39,39,2,1549995000130348,I-LIVNO-BUS -SINDIKAT
40,40,2,1549995000133258,"BIFE SELJAK, VL.JELA MIŠKOVIĆ"
41,41,2,1549995000141503,EURO-STAR D.O.O. LIVNO
42,42,2,1549995000146741,POMIDORA-LAFRRA DOO ČITLUK
43,43,2,1549995000152076,INVESTICIJSKI RAČUN NT-IGM D.O.O.
44,44,2,1549995000167111,KK ŽELJEZNIČAR - OMLADINSKI POGON
45,45,2,1549995000381869,SREDSTVA OD PRIRODNIH I DRUGIH NEPOGODA
46,46,2,1549995000522907,MARKET SCHOP 24 STR
47,47,2,1549995000451903,SAND DOO MATUZIĆI
48,48,3,1401010016037431,WELTING DOO BIJELJINA
49,49,4,5512011125446503,MAGDALENA DOO
50,50,5,1370425010183434,TRANSJUG DD SARAJEVO ZA MEDJUNARODNU SPEDICIJU SARAJEVO
51,51,2,1549995000530958,DOBOJPUTEVI AD DOBOJ
52,52,2,1549995000515438,VRELO BOSNE GZP
53,53,2,1549995000475959,KONSALTING DOO
54,54,4,5510130000448163,"MDIS DOO ZA PREVOZ, USLUGE I TRGOVINU"
55,55,2,1549995000431824,MONTING DOO
56,56,2,1549995000483525,HRAPOVIĆ DOO
57,57,5,1370425020040089,MIGROS D.J.L. ILIDZA
58,58,2,1549995000476250,AVISTA DOO
59,59,2,1549995000440360,KGH MONT DOO
60,60,2,1549995000488181,LEJŠI DOO
61,61,2,1549995000508745,ALVI DOO
62,62,5,1370425020120017,BIROSTROJ COMPUTERS D.O.O SA P.O.
63,63,2,1549995000495844,MUSTO DOO
64,64,2,1549995000472079,TESSANTEX DOO
65,65,2,1549995000439390,GRATEX D.O.O. MATUZIĆI
66,66,2,1549995000481682,VOĆE PROM DOO
67,67,2,1549995000466841,ŠILJAK DJL DŽEVAD ŠILJAK
68,68,2,1549995000491382,ALMES DOO
69,69,2,1549995000485659,BOSSANA EXPORT DOO
70,70,2,1549995000421348,SD-PROMONT DOO
71,71,2,1549995000456171,VIR-TEHNO DOO
72,72,2,1549995000448605,BAŠKARADA DOO
73,73,5,1370425020231567,RESTA INO D.O.O. SARAJEVO
74,74,2,1549995000517572,SISTA D.J.L
75,75,5,1370425020114197,LINE HA D.J.L. SARAJEVO
76,76,5,1370405020236224,PAGAS D.O.O. SARAJEVO
77,77,2,1549995000507581,DRVORAD SIVSA - USORA
78,78,2,1549995000458790,WOOSLEY DOO
79,78,6,1990490005083429,WOOSLEY D.O.O .
80,79,2,1549995000491285,GEN-TRGOVINA DOO
81,80,2,1549995000424937,M.A.K.K. CONCORD DOO
82,81,7,1941040781400133,JEKI DOO
83,81,8,5550010001363983,JEKI DOO
84,81,8,5550020001363934,"""JEKI"" DOO BIJELJINA"
85,81,9,5621008000287972,JEKI DOO
86,82,2,1549995000535517,KAZABLANKA SUR-KAFE BAR VL. OMERINOVIĆ EMIR
87,83,2,1549995000455395,ASKO STR
88,85,10,5671621100212072,BAMBOLA DOO SARAJEVO
89,86,4,5510010001087787,EDNIL DOO
90,86,10,5671621100212363,EDNIL DOO ILIJAS SARAJEVO
91,87,5,1370425020205377,NOVA OBNOVA D.O.O. SARAJEVO
92,88,10,5671621100186852,MRKI DOO GRUDE
93,89,4,5510010001083131,BETA PROMET DOO
94,89,10,5671621100207319,BETA PROMET DOO GRUDE
95,90,10,5671621100231084,ALTUM DOO TUZLA
96,91,10,5671621100196261,CALL TRADE DOO TUZLA
97,92,10,5671621100182487,LATICA DOO GRUDE
98,93,8,5550070002223303,"""RAGIPROM"" DOO FOJNICA"
99,94,10,5671621100202954,BRAGA DOO FOJNICA
100,95,3,1401010025498132,MIKROPROM DOO DERVENTA
101,96,10,5671621100225846,ANA TOURS DOO SARAJEVO
102,97,4,5514051130032076,LIST DOO I.SARAJEVO
103,98,2,1549995000479160,AFRIKA SUR CAFFE BAR
104,99,4,5517102253437763,EUROMGM DOO LAKTAŠI
105,100,2,1541602002218649,SCT-BBM DOO POREZNI PUNOMOĆNIK SPL.GRA.POD. SCT DD LJUBLJANA
106,101,2,1549995000493516,KAVALIR SUR ŽEPĆE
107,102,2,1549995000089996,GRADNJA TRGOVINA JAJCE
108,103,2,1549995000083206,UTP PELVA JAJCE
